Title,Genre,IMDb Score,Rotten Tomatoes Score,Metacritic Score,Runtime,Release Date,Netflix Release Date,Series or Movie,Runtime_min,Year
Blessed Benefit,"Comedy, Drama",6.7,64.69127640036731,58.11342479176874,1-2 hour,2017-08-17,2017-10-13,Movie,60,2017
Son of Godzilla,"Action, Adventure, Family, Fantasy, Sci-Fi",5.3,60.0,58.11342479176874,1-2 hour,1967-12-16,2020-12-01,Movie,60,1967
A-Teen,"Comedy, Drama, Romance",8.0,64.69127640036731,58.11342479176874,< 30 minutes,2018-08-01,2020-12-14,Series,30,2018
5 Minute,Comedy,8.6,64.69127640036731,58.11342479176874,1-2 hour,2010-10-12,2021-03-01,Movie,60,2010
Call the Midwife,"Drama, History",8.4,64.69127640036731,58.11342479176874,< 30 minutes,2012-01-15,2015-04-14,Series,30,2012
My Little Baby,"Comedy, Drama",6.8,64.69127640036731,58.11342479176874,< 30 minutes,2016-03-05,2017-06-10,Series,30,2016
Cheat,Thriller,6.7,64.69127640036731,58.11342479176874,< 30 minutes,2019-03-11,2021-01-15,Series,30,2019
Weightlifting Fairy Kim Bok Joo,"Comedy, Romance",8.4,64.69127640036731,58.11342479176874,< 30 minutes,2016-11-16,2018-10-01,Series,30,2016
Made You Look: A True Story About Fake Art,Documentary,7.0,64.69127640036731,58.11342479176874,1-2 hour,2021-02-23,2021-02-23,Movie,60,2021
Fire with Fire,"Action, Crime, Thriller",5.6,7.0,58.11342479176874,1-2 hour,2012-12-05,2015-04-14,Movie,60,2012
Louis Theroux: Savile,Documentary,7.4,64.69127640036731,58.11342479176874,1-2 hour,2016-10-02,2018-03-31,Movie,60,2016
Too Beautiful to Lie,"Comedy, Romance",7.0,64.69127640036731,58.11342479176874,1-2 hour,2004-01-16,2018-05-31,Movie,60,2004
Gascoigne,"Documentary, Biography, Sport",7.1,75.0,58.11342479176874,1-2 hour,2015-06-08,2017-05-01,Movie,60,2015
1994,"Documentary, History",7.6,64.69127640036731,58.11342479176874,< 30 minutes,2019-05-17,2019-05-17,Series,30,2019
Raising Victor Vargas,"Drama, Romance",7.2,96.0,83.0,1-2 hour,2003-05-02,2020-11-03,Movie,60,2003
Billy Elliot,"Drama, Music",7.7,85.0,74.0,1-2 hour,2000-11-10,2017-11-17,Movie,60,2000
Benidorm,Comedy,7.4,64.69127640036731,58.11342479176874,< 30 minutes,2007-02-01,2015-10-01,Series,30,2007
Epic,"Animation, Adventure, Family, Fantasy, Mystery, Thriller",6.7,65.0,52.0,1-2 hour,2013-05-24,2016-05-01,Movie,60,2013
Moving On,Drama,7.4,64.69127640036731,58.11342479176874,< 30 minutes,2009-05-18,2018-04-27,Series,30,2009
Grimoire of Zero,"Animation, Adventure, Fantasy",7.0,64.69127640036731,58.11342479176874,< 30 minutes,2017-04-10,2017-07-02,Series,30,2017
